County,Year,Total_Population,Median_Income,White_Perc,Poverty_Perc,Uninsured_Perc,Asthma_Incidents,Asthma_Rate,Acres_Burned,Duration,Wildfire_Count
San Benito,2018,,,,,,210,49.7,2574.0,1579 days,8.0
San Benito,2019,,,,,,225,52.6,184.0,1 days,2.0
San Bernardino,2013,,,,,,7503,48.8,1850.0,27 days,10.0
San Bernardino,2014,,,,,,7491,48.5,2191.0,6 days,2.0
San Bernardino,2015,,,,,,7742,49.5,35883.0,85 days,6.0
San Bernardino,2016,,,,,,6656,41.8,44454.0,19 days,4.0
San Bernardino,2017,,,,,,6685,42.1,4065.0,2728 days,17.0
San Bernardino,2018,,,,,,6537,40.9,1820.0,1005 days,7.0
San Bernardino,2019,,,,,,7156,44.2,634.0,11 days,7.0
San Diego,2013,,,,,,6939,28.2,13771.0,27 days,8.0
San Diego,2014,,,,,,6738,27.5,26315.0,50 days,13.0
San Diego,2015,,,,,,7030,28.3,2373.0,12 days,7.0
San Diego,2016,,,,,,5983,24.0,9115.0,33 days,7.0
San Diego,2017,,,,,,6048,24.3,10156.0,3294 days,20.0
San Diego,2018,,,,,,5792,23.2,2205.0,3273 days,17.0
San Diego,2019,,,,,,6123,24.3,1459.0,38 days,17.0
San Joaquin,2013,,,,,,2990,58.4,303.0,0 days,1.0
San Joaquin,2015,,,,,,2934,56.2,122.0,0 days,1.0
San Joaquin,2016,,,,,,2658,49.6,147.0,0 days,1.0
San Joaquin,2018,,,,,,3041,55.8,12362.0,396 days,2.0
San Joaquin,2019,,,,,,2865,51.6,417.0,2 days,3.0
San Luis Obispo,2013,,,,,,542,28.6,815.0,3 days,6.0
San Luis Obispo,2014,,,,,,601,29.9,47.0,1 days,1.0
San Luis Obispo,2015,,,,,,629,31.4,4332.0,21 days,3.0
San Luis Obispo,2016,,,,,,658,32.4,50292.0,43 days,5.0
San Luis Obispo,2017,,,,,,530,26.2,35468.0,4222 days,25.0
San Luis Obispo,2018,,,,,,494,24.3,2297.0,2445 days,14.0
San Luis Obispo,2019,,,,,,522,25.4,5506.0,33 days,10.0
San Mateo,2013,,,,,,1830,30.9,41.0,0 days,1.0
San Mateo,2017,,,,,,1594,26.8,50.0,120 days,1.0
San Mateo,2019,,,,,,1440,23.2,62.0,3 days,1.0
Santa Barbara,2013,,,,,,907,27.5,2154.0,4 days,2.0
Santa Barbara,2014,,,,,,900,27.3,632.0,6 days,1.0
Santa Barbara,2015,,,,,,1045,30.5,284.0,-16638 days,3.0
Santa Barbara,2016,,,,,,956,27.3,52813.0,70 days,4.0
Santa Barbara,2017,,,,,,897,25.7,301035.0,1212 days,7.0
Santa Barbara,2018,,,,,,780,22.4,1804.0,1656 days,8.0
Santa Barbara,2019,,,,,,809,23.4,3846.0,36 days,4.0
Santa Clara,2013,,,,,,3823,27.1,90.0,0 days,2.0
Santa Clara,2014,,,,,,3796,26.7,205.0,4 days,2.0
Santa Clara,2015,,,,,,4545,31.9,257.0,4 days,2.0
Santa Clara,2016,,,,,,3858,26.1,4738.0,363 days,5.0
Santa Clara,2017,,,,,,4031,27.2,639.0,1377 days,8.0
Santa Clara,2018,,,,,,3595,23.9,756.0,1470 days,9.0
Santa Clara,2019,,,,,,3312,21.7,859.0,25 days,11.0
Santa Cruz,2017,,,,,,482,23.4,391.0,85 days,1.0
Santa Cruz,2018,,,,,,513,25.4,27.0,111 days,2.0
Santa Cruz,2019,,,,,,573,26.7,10.0,3 days,1.0
Shasta,2013,179212.0,27000.0,0.7980101778898735,0.16417985402763208,0.05624065352766556,618,46.1,8406.0,11 days,6.0
